Cím;Eredeti cím;Műfaj;Készítés éve;Gyártó országok;Rendező;Szereplők;Magyar korhatárbesorolások
Vérfagyasztó;Curdled;bűnügyi - vígjáték;1996;USA;Reb Braddock;William Baldwin/Bruce Ramsay/Angela Jones;Csak 16 éven felülieknek (1998, BUDAPEST FILM, 90 perc) / III (2006, F/2930/J)
Vérfarkas;Cursed;horror - vígjáték;2005;Németország/USA;Wes Craven;Jesse Eisenberg/Christina Ricci/Shannon Elizabeth;IV (2007, F/7078/J, BEST HOLLYWOOD KFT., 97 perc)
Vérfarkasok;Skinwalkers;akció - horror;2006;Németország/USA/Kanada;James Isaac;Rhona Mitra/Elias Koteas/Jason Behr;IV (2009, F/8954/J, BUDAPEST FILM, 110 perc)
Vérhold;The Bloodmoon;horror;1990;Ausztrália;Alec Mills;Ian Williams/Christine Amor/Leon Lissek;IV (2005, F/1977/J)
Vérnász;Bodas de sangre;zenés;1981;Spanyolország;Carlos Saura;Antonio Gades/Juan Antonio/Cristina Hoyos;Korhatár nélkül (1983, MOKÉP, 72 perc)
Vérrel és kötéllel;Vérrel és kötéllel;dokumentum;1989;Magyarország;Erdélyi János-Zsigmond Dezső;;14 éven aluliaknak nem ajánlott (1990, BUDAPEST FILM, 120 perc)
Vérszerződés;Vérszerz?dés;filmdráma;1982;Magyarország;Dobray György;Epres Attila/Bubik István/Kállai Ilona;14 éven aluliaknak nem ajánlott (1983, MOKÉP, 94 perc)
Vérszomj;The Thirst: Blood War;horror - vígjáték;2008;USA;Tom Shell;Jason Connery/A.J. Draven/Tony Todd;IV (F/8906/J)
Vérszomj;Prey;horror;2007;USA/South Africa;Darrell Roodt;Bridget Moynahan/Peter Weller/Carly Schroeder;III (2007, F/5419/J, Fórum Home Entertainment, 92 perc)
Vérszomj;Ginger Snaps;horror;2000;USA/Kanada;John Fawcett;Emily Perkins/Kris Lemche/Katharine Isabelle;IV (2005, F/1670/J)
Vértestvérek;Blutsbruder;ifjúsági;1975;NDK;Werner W. Wallroth;Dean Reed/Gojko Mitic/Gisela Freudenberg;Korhatár nélkül (1984, MOKÉP /Felújitás/, 105 perc)
Vértestvérek;Tian tang kou;akció;2007;Kína/Taiwan;Alexi Tan;Ye Liu/Qi Shu/Daniel Wu;III (2008, F/7096/J, MOKÉP, 95 perc)
Vérvonal;Mýrin;bűnügyi;2006;Denmark/Izland/Németország;Baltasar Kormákur;Björn Hlynur Haraldsson/Ingvar Eggert Sigur?sson/Ágústa Eva Erlendsdóttir;III (2009, F/8710/J, SZIMPLAFILM KFT., 93 perc)
Vérvonal;Vérvonal;filmdráma;1993;Spanyolország/Portugália/Lengyelország/Magyarország;Erdőss Pál;Daniel Olbrychski/Szabó László/Micaele Gadoso;Csak 16 éven felülieknek (1994, BUDAPEST FILM, 108 perc)
Vérvonal;Bloodline;bűnügyi;1979;USA/NSZK;Terence Young;James Mason/Audrey Hepburn/Ben Gazzara;Csak 18 éven felülieknek (1981, MOKÉP, 119 perc)
Vérvörös;Profundo Carmesi;filmdráma;1997;Spanyolország/Mexikó/Franciaország;Aruro Ripstein;Regina Orozco/Daniel Giménez Cacho;Csak 18 éven felülieknek (1999, MÁSKÉPP ALAPÍTVÁNY, 114 perc)
Vérző Magyarország;Vérző Magyarország;dokumentum;2010;Magyarország;Koltay Gábor;;II (2010, F/10242/D, ROCKY, 110 perc)
Vérző olaj;There Will Be Blood;filmdráma;2007;USA;Paul Thomas Anderson;Kevin J. O'Connor/Ciarán Hinds/Daniel Day-Lewis;III (2008, F/6703/J, INTERCOM, 158 perc) / III (2008, F/6703/J, 158 perc)
Vészhelyzet ;ER;tévésorozat;2005;USA;;Maura Tierney/Laura Innes/Goran Visnjic;III (2008, F/8229/E, Fórum Home Entertainment, 924 perc)
Vészhelyzet ;ER;tévésorozat;2006;USA;;Maura Tierney/Laura Innes/Goran Visnjic;III (2009, F/8729/E, 953 perc)
Vészhelyzet ;ER;tévésorozat;2007;USA;;Parminder Nagra/Mekhi Phifer/Maura Tierney;III (2010, F/10152/E, Pro Video Film)
Vészhelyzet ;ER;filmdráma;2002;USA;;Noah Wyle/Laura Innes/Alex Kingston;III (2005, F/6380/E, 942 perc)
Vészhelyzet ;ER;tévésorozat;2001;USA;;Noah Wyle/Anthony Edwards/Eriq LaSalle;III (2007, F/5532/E, 938 perc)
Vészhelyzet ;ER;tévésorozat;2004;USA;;Alex Kingston/Mekhi Phifer/Goran Visnjic/Maura Tierney/Noah Wyle;III (2008, F/7461/E, 933 perc)
Vészhelyzet ;ER;tévésorozat;1994;USA;több rendező;Noah Wyle/Sherry Stringfield/George Clooney;II (2005, F/1084/E, WARNER HOME VIDEO)
Vészhelyzet ;ER;tévésorozat;1999;USA;több rendező;Noah Wyle/Sherry Stringfield/George Clooney;III (2006, F/3978/E)
Vészhelyzet ;ER;tévésorozat;2003;USA;;Maura Tierney/Laura Innes/Parminder Nagra/Noah Wyle;III (2008, F/6790/E, 932 perc)
Vészhelyzet ;ER;tévésorozat;1996;USA;több rendező;Noah Wyle/Sherry Stringfield/George Clooney;III (2006, F/3975/E)
Vészhelyzet ;ER;tévésorozat;1995;USA;több rendező;Noah Wyle/Sherry Stringfield/George Clooney;III (2006, F/3974/E)
Vészhelyzet ;ER;tévésorozat;1998;USA;több rendező;Noah Wyle/Sherry Stringfield/George Clooney;III (2006, F/3977/E)
Vészhelyzet ;ER;tévésorozat;1997;USA;több rendező;Noah Wyle/Sherry Stringfield/George Clooney;III (2006, F/3976/E)
Vészjelzés a tenger alól;Szlucsaj v kvadratye 36-80;kaland;1982;Szovjetunió;Mihail Tumanisvili;Borisz Scserbakov/Mihail Volontyir/Anatolij Kuznyecov;Korhatár nélkül (1984, MOKÉP, 79 perc)
V. Henrik;Henry V;filmdráma;1944;Nagy-Britannia;Laurence Olivier;Dallas Bower/Alan Dent/Laurence Olivier;II (2005, F/0604/J, CINETEL KFT.) / 14 éven aluliaknak nem ajánlott (1992, SATURNUS FILM, 137 perc)
V.H.S.;V.H.S.;filmdráma;;Magyarország;;;Csak 18 éven felülieknek (1996, UIP DUNA FILM KFT.)
Viadal;Duelul;bűnügyi;1981;Románia;Sergiu Nicolaescu;Jean Constantin/Sergiu Nicolaescu/Colea Rautu;Korhatár nélkül (1983, MOKÉP, 110 perc)
Viadukt;Viadukt;bűnügyi;1982;USA/NSZK/Magyarország;Simó Sándor;Bács Ferenc/Michail Sarazzin/Towje Kleiner;Korhatár nélkül (1983, MOKÉP, 100 perc)
Viaszbabák háza;House of Wax;thriller;1953;USA;André De Toth;Frank Lovejoy/Phyllis Kirk/Vincent Price;III (2005, F/1595/J)
Viasztestek;House of Wax;horror;2005;USA/Ausztrália;Jaume Collet-Serra;Chad Michael Murray/Brian Van Holt/Elisha Cuthbert;III (2005, F/1369/J, 113 perc) / III (2005, F/1369/J)
Vicky, a viking;Chisana baikingu Bikke;animáció;1974;Japán/NSZK/Ausztria;Hiroshi Saitô/Chikao Katsui;;I (2007, F/4821/A)
Vicky Cristina Barcelona;Vicky Cristina Barcelona;filmdráma;2008;Spanyolország/USA;Woody Allen;Scarlett Johansson/Javier Bardem/Penélope Cruz;II (2009, F/8258/J, BEST HOLLYWOOD KFT., 96 perc) / II (2008, F/8258/J, BEST HOLLYWOOD KFT., 96 perc)
Vidám élet;La vida alegre;vígjáték;1987;Spanyolország;Fernando Colombo;Antonio Resines/Ana Obregon/Veronica Forqué;14 éven aluliaknak nem ajánlott (1989, MOKÉP, 100 perc)
Vidám manók karácsonya;The Happy Elf;animáció;2005;USA;John Rice;Carol Kane/Harry Connick Jr./Rob Paulsen;I (2009, F/9574/A, Best Hollywood, 45 perc)
Vidd hírül a spártaiaknak!;Go tell the Spartans;háborús;1978;USA;Ted Post;Burt Lancaster/Craig Wasson/Marc Singer;II (2010, F/10104/J, FANTASY FILM, 110 perc)
Videodrome;Videodrome;misztikus;1983;Kanada;David Cronenberg;Sonja Smits/Deborah Harry/James Woods;IV (2010, F/10007/J, Universal, 84 perc)
Videó blues;Video Blues;filmdráma;1992;Magyarország;Sopsits Árpád;Danyi Judit/Horváth Lajos Ottó/Epres Attila;Csak 16 éven felülieknek (1992, HUNNIA FILMSTÚDIÓ, 93 perc)
Vidéki lány;The Country Girl;filmdráma;1954;USA;George Seaton;William Holden/Grace Kelly/Bing Crosby;II (2005, F/0786/J, INTERCOM)
Vidéki színészek;Aktorzy prowincjonalni;társadalmi dráma;1979;Lengyelország;Agnieszka Holland;Tadeusz Huk/Jan Ciecierski/Halina Labonarska;14 éven aluliaknak nem ajánlott (1983, MOKÉP, 110 perc)
Vidéki vasárnap;Un dimanche á la campagne;filmdráma;1984;Franciaország;Bertrand Tavernier;Michel Aumont/Sabine Azéma/Louis Ducreux;Korhatár nélkül (1988, MOKÉP, 98 perc)
Vidocq;Vidocq;filmdráma;2001;Franciaország;Pitof;Guillaume Canet/Inés Sastre/Gérard Depardieu;III (F/8521/J) / Csak 16 éven felülieknek (2002, MOKÉP, 100 perc)
Vidrasors;Otter-Man;természetfilm;2007;Magyarország;Török Zoltán;;I (2007, F/7224/D, 51 perc)
Vietnám;Vietnám;útifilm;2008;Magyarország;;;I (2008, F/7189/E, VIP Produkció, 85 perc)
Vietnámi hadszíntér;Battleground Vietnam;dokumentum;2006;;;;II (F/6607/D, VIP Produkció)
Vietnámi hadszíntér;Vietnem - The chopper war;dokumentum;2006;;;;II (F/6971/D, VIP Produkció)
Vietnámi háború I;Vietnam Combat I.;dokumentum;2002;USA;több rendező;;II (2007, F/4543/D)
Vietnámi háború II;Vietnam Combat II.;dokumentum;2002;USA;több rendező;;II (2007, F/4544/D)
Vietnámi háború III;Vietnam Combat III.;dokumentum;2002;USA;több rendező;;II (2007, F/4545/D)
Vigo;Vigo;filmdráma;1997;Franciaország;Julien Temple;James Frain/Rimane Bohringer/Jim Carter;14 éven aluliaknak nem ajánlott (1998, BUDAPEST FILM, 103 perc)
Vigyázat, ehető! - A francia bioforradalom;Nos enfants nous accuseront;dokumentum;2008;Franciaország;Jean-Paul Jaud;Perico Légasse;II (2010, F/10060/D, Anjou Lafayette, 112 perc)
Vigyázat, életveszély!;Opaszno dlja zsiznyi!;vígjáték;1985;Szovjetunió;Leonyid Gajdaj;Tatjana Kravcsenko/Leonyid Kuravljov/Larisza Udovicsenko;Korhatár nélkül (1987, MOKÉP, 94 perc)
Vigyázat, (már megint) nyomozunk!;Xia ri fu xing;akció - vígjáték;1985;Hong Kong;Sammo Hung Kam-Bo;Anthony Chan/Sammo Hung Kam-Bo/Jackie Chan;III (2008, F/8038/J, ADS Service Kft., 105 perc)
Vigyázat, nyomozunk!;Fuk sing go jiu;akció - vígjáték;1985;Hong Kong;Sammo Hung Kam-Bo;Jackie Chan/Sammo Hung Kam-Bo;II (2009, F/8547/J, BUDAPEST FILM, 93 perc)
Vigyázat, vadnyugat!;E poi lo chiamarono il magnifico;western;1972;Jugoszlávia/Franciaország/Olaszország;Enzo Barboni;Gregory Walcott/Terence Hill/Harry Carey Jr.;II (2008, F/8079/J, FANTASY FILM, 120 perc)
Vigyázók;Vigyázók;filmdráma;1993;Magyarország;Sára Sándor;Andorai Péter/Nagy-Kálózy Eszter/Máté Gábor;14 éven aluliaknak nem ajánlott (1993, BUDAPEST FILM, 93 perc)
Vigyázz a kendődre tatjana;Pida Huivista Kiinni, Tatjanana;vígjáték;1994;Finnország;Aki Kaurismäki;Kirsi Tykkylainen/Kati Outinen/Matti Pellonpaa;Korhatár nélkül (1994, BUDAPEST FILM, 65 perc)
Vigyázz, jön a vizit!;Pozor, vizita!;vígjáték;1981;Csehszlovákia;Karel Kachyna;Veronika Jeniková/Rudolf Hrusínský/Ludovit Gresso;14 éven aluliaknak nem ajánlott (1983, MOKÉP, 89 perc)
Vigyázz, kész, szörf;Surf's Up;animáció;2007;USA;Ash Brannon/Chris Buck;;I (2007, F/5305/A) / I (2007, F/5305/A, 85 perc)
Vigyázz, kész, szűz;American Virgin;vígjáték;2000;Franciaország/USA;Jean-Pierre Marois;Mena Suvari/Bob Hoskins/Robert Loggia;III (2006, F/3281/J)
Vigyázz ! kígyó !;Beregisz! Zmei!;bűnügyi;1979;Szovjetunió;Zahid Szabitov;Jurij Punzirev/Pulat Szaidkaszimov/Hamza Umarov;14 éven aluliaknak nem ajánlott (1981, MOKÉP /Ünnepi műsor/, 136 perc)
Vihar;Strom;thriller;1999;USA;Harris Done;Martin Sheen/Luke Perry/Robert Knott;II (2007, F/4677/J)
Vihar;Tempest;filmdráma;1982;USA;Paul Mazursky;Gena Rowlands/Susan Sarandon/John Cassavetes;
Viharfelhők;Storm Catcher;akció;1999;USA;Anthony Hickox;Dolph Lundgren/Mystro Clark/Jon Pennell;IV (2005, F/1923/J)
Viharmadarak;Thunderbrids;fantasy;2004;USA/Nagy-Britannia;Jonathan Frakes;Brady Corbet/Debora Weston/Soren Fulton;I (2004, F/0289/J, UNIVERSAL PICTURES H. KFT.) / I (F/8052/J)
Viharos föld;Earthstorm;sci-fi;2006;USA;Terry Cunningham;Dirk Benedict/Stephen Baldwin/Amy Price-Francis;III (2007, F/5233/J)
Viharos hétfő;Stormy Monday;bűnügyi;1988;Nagy-Britannia;Mike Figgis;Tommy Lee Jones/Melanie Griffith/Sting;14 éven aluliaknak nem ajánlott (1989, BUDAPEST FILM, 94 perc)
Viharsziget;Shutter Island;thriller;2010;USA;Martin Scorsese;Mark Ruffalo/Leonardo DiCaprio/Ben Kingsley;III (2010, F/9922/J, UIP-Duna Film, 138 perc)
Vihar után;After the storm;thriller;2001;USA;Guy Ferland;Armand Assante/Benjamin Bratt/Mili Avital;II (2005, F/2524/J)
Viharzóna;Perfect Storm;filmdráma;2000;USA;Wolfgang Petersen;Mary Elizabeth Mastrantonio/Mark Wahlberg/George Clooney;Csak 16 éven felülieknek (2000, INTERCOM, 129 perc) / III (2006, F/3476/J)
VIII. Henrik;Henry VIII;történelmi - dráma;2003;Nagy-Britannia;Pete Travis;Sid Mitchell/Ray Winstone/Joss Ackland;III (2009, F/8928/E, 250 perc)
Vikingek;Vikings;dokumentum;;;;;I (F/5107/D)
Viktória és albert;Victoria And Albert;életrajzi;2001;Nagy-Britannia;John Erman;Victoria Hamilton/James Callis/Jonathan Firth;I (2006, F/3214/J)
Viktória hastánc: titkok, koreográfiák 3;Viktória hastánc: Titkok, koreográfiák 3.;ismeretterjesztő;2006;Magyarország;;;II (2007, F/6272/E, Viktória hastánc)
Világautó;Killing Cars;thriller;1985;NSZK;Michael Verhoeven;Agnes Soral/Senta Berger/Jürgen Prochnow;14 éven aluliaknak nem ajánlott (1988, MOKÉP, 100 perc)
Világgá mentem;North;vígjáték;1994;USA;Rob Reiner;Dan Aykroyd/Bruce Willis/Elijah Wood;II (2005, F/2451/J, FLAMEX)
Világlátó sorozat: Kalifornia, Csehország, Svájc, Hollandia, Franciaország, Spanyolország, Olaszország, Németország, Ausztria, Horvátország;Világlátó sorozat: Kalifornia, Csehország, Svájc, Hollandia, Franciaország, Spanyolország, Olaszország, Németország, Ausztria, Horvátország;;;;;;I (F/9828/E)
Világok arca: Baraka;Baraka;dokumentum;1992;USA;Ron Fricke;;Korhatár nélkül (1993, BUDAPEST FILM, 96 perc) / I (2004, F/0264/J, INTERSONIC KFT., 96 perc)
Világok harca;War of the Worlds;sci-fi;2005;USA;Steven Spielberg;Justin Chatwin/Tom Cruise/Dakota Fanning;II (2005, F/1651/J, 116 perc)
Világokon át;Világokon át I-III.;ismeretterjesztő;;Magyarország;Lőrincz Gabriella;;I (2007, F/4896/E)
Világörökség;Világörökség;dokumentum;2003;Magyarország;Osskó Judit;;I (2009, F/8041/D, MOKÉP, 183 perc)
Világra jönni;Le Premier cri;dokumentum;2007;Franciaország;Gilles de Maistre;;II (2008, F/7144/D, Best Hollywood, 99 perc)
Világszám;;vígjáték;2004;Magyarország;Koltai Róbert;Koltai Róbert/Tóth Orsolya/Gáspár Sándor;II (2004, F/0436/J, HUNGARICOM KFT., 94 perc)
Világtörténelem 1. rész;History of the World: Part I;vígjáték;1981;USA;Mel Brooks;Madeline Kahn/Dom DeLuise/Mel Brooks;III (2009, F/9000/J, INTERCOM, 92 perc)
Világvége közös ágyunkban;La fine del mondo del nostro solito letto in una notte piena di pioggia;filmdráma;1977;Olaszország/USA;Lina Wertmüller;Candice Bergen/Giancarlo Giannini/Lucio Amelio;14 éven aluliaknak nem ajánlott (1980, MOKÉP, 107 perc)
Vili, a veréb;Vili, a veréb;animáció;1988;Magyarország;Gémes József;;Korhatár nélkül (1989, BUDAPEST FILM, 79 perc) / I (2005, F/2039/A)
Vili és Nosza 1-26 epizód;Will & Dewitt;animáció;2008;Kanada;Paul Riley;Billy Rosemberg/Richard Binsley/Connor Price;I (2009, F/9428/A, 70 perc)
Villanás a víz felett;Lightning over water;dokumentum;1980;NSZK;Wim Wenders/Nicholas Ray;Gerry Bamman/Pierre Cottrell/Ronee Blakley;14 éven aluliaknak nem ajánlott (1983, MOKÉP, 91 perc)
Villanófényben;Exposed;filmdráma;1983;USA;James Toback;Harvey Keitel/Rudolf Nureyev/Nastassja Kinski;II (2009, F/8849/J, FANTASY FILM, 95 perc)
Villámtolvaj - Percy Jackson és az olimposziak;Percy Jackson & the Olympians: The Lightning Thief;kaland;2010;USA/Kanada;Chris Columbus;Brandon T. Jackson/Logan Lerman/Alexandra Daddario;II (2010, F/9920/J, INTERCOM, 121 perc)
Vincent és theo;Vincent et Théo;filmdráma;1990;Nagy-Britannia/Franciaország/Hollandia;Robert Altman;Adrian Brine/Tim Roth/Paul Rhys;II (2005, F/1296/J)
Vinyan - Az elveszett lelkek;Vinyan;thriller;2008;Belgium/Ausztrália/Nagy-Britannia/Franciaország;Fabrice Du Welz;Julie Dreyfus/Emmanuelle Béart/Rufus Sewell;III (2010, F/9802/J, CINETEL KFT., 96 perc)
Vinny az együgyű;My Cousin Vinny;vígjáték;1992;USA;Jonathan Lynn;Joe Pesci/Ralph Macchio/Marisa Tomei;Korhatár nélkül (1992, INTERCOM, 120 perc) / III (2006, F/3689/J)
Viola csókja;Viola bacia tutti;vígjáték;1998;Olaszország;Giovanni Veronesi;Massimo Ceccherini/Asia Argento/Valerio Mastandrea;III (2008, F/7171/J, BEST HOLLYWOOD KFT., 93 perc)
Vipera;Viper;akció;1994;USA;Takács Tibor;Frankie Thorn/Lorenzo Lamas/Hank Cheyne;Csak 16 éven felülieknek (1994, 94 perc)
Virágok völgye;Valley of Flowers;kaland;2006;Franciaország/Németország/Japán/India;Pan Nalin;Naseeruddin Shah/Milind Soman/Myl?ne Jampano;II (2007, F/4817/J, 120 perc)
Viridiana;Viridiana;filmdráma;1961;Spanyolország/Mexikó;Luis Bunuel;Francisco Rabal/Fernando Rey/Silvia Pinal;III (2007, F/5151/J)
Virtuális akvárium;Naked Fish;természetfilm;2003;USA;Richard Diercks;;I (2005, F/0726/E, WARNER HOME VIDEO)
Visual Drive;Visual Drive;oktató;2009;Magyarország;;;I (2009, F/9665/E, ROCKY)
Viszem a bankot;Quick Change;vígjáték;1990;USA;Howard Franklin;Bill Murray/Bob Elliott/Dale Grand;II (2005, F/1171/J, WARNER HOME VIDEO)
Viszontlátásra gyerekek;Au revoir les enfants;filmdráma;1987;Franciaország;Louis Malle;Gaspard Manesse/Raphael Fejto/Francin Racette;Korhatár nélkül (1989, MOKÉP, 106 perc)
Vissza Afrikába;Back to Africa;dokumentum;2008;Németország/Ausztria;Othmar Schmiderer;;II (2010, F/10602/J, Anjou Lafayette, 97 perc)
Vissza a jelenbe;The Man with Rain in His Shoes;romantikus - vígjáték;1998;Spanyolország/USA/Németország/Franciaország/Nagy-Britannia;María Ripoll;Lena Headey/Penelopé Cruz/Douglas Henshall;II (2006, F/3956/J)
Vissza a jövőbe;Back to the future;sci-fi;1985;USA;Robert Zemeckis;Lea Thompson/Michael J. Fox/Christopher Lloyd;Korhatár nélkül (1987, MOKÉP, 118 perc) / II (2005, F/1930/J)
Vissza a jövőbe 2;Back to the Future II.;sci-fi;1989;USA;Robert Zemeckis;Michael J. Fox/Lea Thompson/Christopher Lloyd;Korhatár nélkül (1990, DUNA FILM, 128 perc) / II (2007, F/4799/J)
Vissza a jövőbe 3;Back to the Future Part III.;sci-fi;1989;USA;Robert Zemeckis;Mary Steenburgen/Christopher Lloyd/Michael J. Fox;Korhatár nélkül (1990, DUNA FILM, 120 perc) / II (2007, F/4800/J)
Vissza a pokolba;Back in the day;bűnügyi;2005;USA;James Hunter;Tatyana Ali/Rafa Alvarez/Paul Benjamin;III (2006, F/3234/J)
Visszaesők;Visszaes?k;társadalmi dráma;1982;Magyarország;Kézdi Kovács Zsolt;Monori Lili/Törőcsik Mari/Székely B. Miklós;Csak 16 éven felülieknek (1983, MOKÉP, 93 perc)
Visszafordíthatatlan;Irreversible;thriller;2002;Franciaország;Gaspar Noé;Vincent Cassel/Monica Bellucci/Albert Dupontel;Csak 18 éven felülieknek (2003, MÁSKÉPP ALAPÍTVÁNY, 100 perc) / IV (2004, F/0978/J, ODEON)
Visszajátszás;Tape;filmdráma;2001;USA;Richard Linklater;Uma Thurman/Robert Sean Leonard/Ethan Hawke;Csak 16 éven felülieknek (2003, BUDAPEST FILM, 83 perc)
Visszakézből;Ricochet;akció;1991;USA;Russell Mulcahy;John Lithgow/Denzel Washington/Ice-T;III (2005, F/1014/J, FF FILM KFT.) / Csak 16 éven felülieknek (1992, INTERCOM, 109 perc)
Visszaszámlálás;Visszaszámlálás;társadalmi dráma;1985;Magyarország;Erdőss Pál;Eperjes Károly/Újlaky Dénes/Ozsda Erika;14 éven aluliaknak nem ajánlott (1986, MOKÉP, 103 perc)
Visszatérés;Vozvraschenie;filmdráma;2003;Oroszország;Andrei Zvyagintsev;Vladimir Garin/Konstantin Lavronenko/Ivan Dobronravov;14 éven aluliaknak nem ajánlott (2004, MOKÉP, 105 perc)
Visszatérés a Boszorkány-hegyről;Return from Witch Mountain;családi;1978;USA;John Hough;Christopher Lee/Bette Davis/Kim Richards;II (2009, F/8998/J, INTERCOM, 95 perc)
Visszatérés a kék lagúnába;Return to the Blue Lagoon;kaland;1991;USA;William A. Graham;Milla Jovovich/Lisa Pelikan/Brian Krause;14 éven aluliaknak nem ajánlott (1992, INTERCOM, 98 perc)
Visszatérés a Kísértet-hegyre;Return to House on Haunted Hill;horror;2007;USA;Víctor García;Cerina Vincent/Erik Palladino/Amanda Righetti;IV (2007, F/6068/J, Fórum Home Entertainment)
Visszatérés a paradicsomba;Return To Paradise;filmdráma;1998;USA;Joseph Ruben;Anne Heche/Joaquin Phoenix/Vince Vaughn;14 éven aluliaknak nem ajánlott (1999, BUDAPEST FILM, 109 perc)
Visszatérések kora;Comeback Season;vígjáték;2006;USA/Kanada;Bruce McCulloch;Shaun Sipos/Glenne Headly/Ray Liotta;II (2007, F/4624/J)
Visszatérés - Kicsi de nagyon erős 2;Visszatérés - Kicsi de nagyon erős 2;filmdráma;1999;Magyarország;Grunwalsky Ferenc;Gáspár Sándor/Szarvas József/Bán János;Csak 16 éven felülieknek (1999, BUDAPEST FILM, 115 perc)
Visszatérés  Retrace;Visszatérés  Retrace;;;;;;II (F/11014/J)
Visszavágó;Payback;thriller;1999;USA;Brian Helgeland;Mel Gibson/Maria Bello/Gregg Henry;Csak 16 éven felülieknek (1999, INTERCOM, 101 perc) / IV (2006, F/3072/J)
Vitathatatlan 2;Undisputed II: Last man Standing;akció;2006;USA;Isaac Florentine;Michael Jai White/Scott Adkins/Eli Danker;IV (2006, F/4507/J)
Vitathatatlan 3;Undisputed III;;;;;;IV (F/11051/J)
Vitorlás a láthatáron;Pianke;ifjúsági;1983;NDK;Günter Friedrich;Volkmar Kleinert/Eileen Meyer/Alexander Heidenreich;Korhatár nélkül (1986, MOKÉP, 90 perc)
Viva mexikó!;Que Viva Mexico!;dokumentum;1931;Szovjetunió;Szergej Eizenstein/Grigorij Alekszandrov;;Korhatár nélkül (1980, MOKÉP, 85 perc)
Viva zapata!;Viva Zapata;filmdráma;1952;USA;Elia Kazan;Jeanne Peters/Anthony Quinn/Marlon Brando;Korhatár nélkül (1984, MAGYAR FILMTUDOMÁNYI INTÉZET /Filmmúzeum/, 114 perc)
Vizipók-csodapók;Vizipók-csodapók;animáció;1981;Magyarország;;;Korhatár nélkül (1983, MOKÉP, 80 perc)
Víkend egymillióért;Vikend za millión;bűnügyi;1987;Csehszlovákia;Dusan Trancik;Maros Kramár/Bronislav Poloczek/Bán János;Korhatár nélkül (1989, MOKÉP, 82 perc)
Víkendház nélkül nem élet az élet;Der baulöwe;vígjáték;1979;NDK;Georgi Kissimov;Rolf Herricht/Agnes Kraus/Annekathrin Bürger;Korhatár nélkül (1982, MOKÉP, 94 perc)
Vírus;Outbreak;thriller;1995;USA;Wolfgang Petersen;Dustin Hoffman/Morgan Freeman/Rene Russo;Csak 16 éven felülieknek (1995, INTERCOM, 106 perc) / III (2006, F/3841/J)
Vírus bosszú;The Contaminated Man;thriller;2000;USA;Anthony Hickox;William Hurt/Peter Weller/Natascha McElhone;II (2005, F/2457/J)
Vízcseppek a forró kövön;Gouttes D'eau sur pierres Brulantes;filmdráma;2000;Franciaország;François Ozon;Bernard Giraudeau/Milak Zidi/Anna Thomson;III (F/6330/J) / Csak 16 éven felülieknek (2002, BUDAPEST FILM, 90 perc)
Víz és szappan;Acqua e sapone;vígjáték;1983;Olaszország;Carlo Verdone;Natasha Hovey/Carlo Verdone/Florinda Bolkan;14 éven aluliaknak nem ajánlott (1987, MOKÉP, 101 perc)
Vízimese;Dieci wodne;mese;1980;Lengyelország/Nagy-Britannia;Lionel Jeffries;Tommy Pender/James Mason/Billie Whitelaw;Korhatár nélkül (1982, MOKÉP, 103 perc)
Vízipók-csodapók (egész estés);Vízipók csodapók (egész estés);animáció;2002;Magyarország;Haui József/Szabó Szabolcs/Szombati Szabó Csaba;;Korhatár nélkül (1983, MOKÉP, 80 perc) / I (2007, F/4921/A)
Vízipók-Csodapók I., II., III.;Vízipók-Csodapók I., II., III.;animáció;1981;Magyarország;Haui József/Szabó Szabolcs;;I (2006, F/3350/A)
Vízözön;Hard Rain;katasztrófa;1997;USA;Michael Salomon;Morgan Freeman/Christian Slater/Randy Quaid;Csak 16 éven felülieknek (1998, BUDAPEST FILM, 95 perc) / III (F/7470/J)
V, mint vérbosszú;V for vendetta;akció;2005;USA/Németország;James McTeigue;Stephen Rea/Natalie Portman/Hugo Weaving;III (2005, F/2338/J) / III (2005, F/2338/J)
V, mint viktória, avagy, nyomoz a bébicsősz;V. I. Warshawski;vígjáték;1991;USA;Jeff Kanew;Charles Durning/Kathleen Turner/Jay O. Sanders;14 éven aluliaknak nem ajánlott (1992, INTERCOM, 89 perc)
Vodkabomba;Gunblast Vodka;vígjáték;2000;Lengyelország/Franciaország;Jean-Louis Daniel;Götz Otto/Angie Everhart/Jürgen Prochnow;III (2008, F/7088/J, Fórum Home Entertainment, 97 perc)
Vodka lemon;Vodka Lemon;vígjáték;2003;Olaszország/Örményország/Franciaország/Svédország;Hiner Saleem;Romen Avinian/Lala Sarkissian/Ivan Franek;14 éven aluliaknak nem ajánlott (2004, ODEON, 84 perc)
Volt;Bolt;animáció;2008;USA;Chris Williams/Byron Howard;Miley Cyrus/John Travolta/Susie Essman;II (2009, INTERCOM, 96 perc) / II (2009, F/8515/A, Fórum Hungary, 96 perc)
Volt egyszer egy Amerika;Once Upon a Time in America;társadalmi dráma;1983;USA;Sergio Leone;James Woods/Elizabeth McGovern/Robert De Niro;14 éven aluliaknak nem ajánlott (1989, MOKÉP, 230 perc)
Volt egyszer egy esküvő;Once Upon a Wedding;romantikus - vígjáték;2005;USA;Matia Karrell;A Martinez/Charlotte Ayanna/Esai Morales;II (F/8988/J)
